Flag,Country,office held by head of government,head of government,office held by head of state,head of state,Wikipedia_Link
🇦🇫,Afghanistan,Prime Minister of Afghanistan,Ashraf_Ghani,Amir al-Mu'minin,Hibatullah Akhundzada,https://en.wikipedia.org/wiki/Ashraf_Ghani
🇦🇱,Albania,Prime Minister of Albania,Edi Rama,President of Albania,Bajram Begaj,https://en.wikipedia.org/wiki/Edi_Rama
🇩🇿,Algeria,Prime Minister of Algeria,Abdelmadjid Tebboune,President of Algeria,Abdelmadjid Tebboune,https://en.wikipedia.org/wiki/Abdelmadjid_Tebboune
🇦🇩,Andorra,Prime Minister of Andorra,Xavier Espot Zamora,"French co-prince of Andorra Episcopal Co-Prince","Joan Enric Vives Sicília Emmanuel Macron",https://en.wikipedia.org/wiki/Xavier_Espot_Zamora
🇦🇴,Angola,President of Angola,João Lourenço,President of Angola,João Lourenço,https://en.wikipedia.org/wiki/Jo%C3%A3o_Louren%C3%A7o
🇦🇬,Antigua and Barbuda,Prime Minister of Antigua and Barbuda,Gaston Browne,"monarch of Antigua and Barbuda Governor-General of Antigua and Barbuda",Charles III of the United Kingdom,https://en.wikipedia.org/wiki/Gaston_Browne
🇦🇷,Argentina,President of Argentina,Javier Milei,President of Argentina,Javier Milei,https://en.wikipedia.org/wiki/Javier_Milei
🇦🇲,Armenia,Prime Minister of Armenia,Nikol Pashinyan,President of Armenia,Vahagn Khachatryan,https://en.wikipedia.org/wiki/Nikol_Pashinyan
🇦🇼,Aruba,Prime Minister of Aruba,Evelyn Wever-Croes,,Willem-Alexander of the Netherlands,https://en.wikipedia.org/wiki/Evelyn_Wever-Croes
🇦🇺,Australia,Prime Minister of Australia,Anthony Albanese,monarch of Australia,Charles III of the United Kingdom,https://en.wikipedia.org/wiki/Anthony_Albanese
🇦🇺,Austria,President, Alexander Van der Bellen, President, Alexander Van der Bellen, https://en.wikipedia.org/wiki/Alexander_Van_der_Bellen
🇦🇿,Azerbaijan,Prime Minister of Azerbaijan,Ilham Aliyev,President of Azerbaijan,Ilham Aliyev,https://en.wikipedia.org/wiki/Ilham_Aliyev
🇧🇭,Bahrain,Prime Minister of Bahrain,"Salman bin Hamad, Crown Prince of Bahrain",monarch of Bahrain,Hamad II of Bahrain, https://en.wikipedia.org/wiki/Salman_bin_Hamad_Al_Khalifa
🇧🇩,Bangladesh,Prime Minister of Bangladesh,Sheikh_Hasina,President of Bangladesh,Mohammad Shahabuddin,https://en.wikipedia.org/wiki/Sheikh_Hasina
🇧🇧,Barbados,Prime Minister of Barbados,Mia Mottley,President of Barbados,Sandra Mason,https://en.wikipedia.org/wiki/Mia_Mottley
