Flag,Country,office held by head of government,head of government,office held by head of state,head of state
🇦🇫,Afghanistan,Prime Minister of Afghanistan,Mohammad Hasan Akhund,Amir al-Mu'minin,Hibatullah Akhundzada
🇦🇱,Albania,Prime Minister of Albania,Edi Rama,President of Albania,Bajram Begaj
🇩🇿,Algeria,Prime Minister of Algeria,Nadir Larbaoui,President of Algeria,Abdelmadjid Tebboune
🇦🇩,Andorra,Prime Minister of Andorra,Xavier Espot Zamora,"French co-prince of Andorra
Episcopal Co-Prince","Joan Enric Vives Sicília
Emmanuel Macron"
🇦🇴,Angola,President of Angola,João Lourenço,President of Angola,João Lourenço
🇦🇬,Antigua and Barbuda,Prime Minister of Antigua and Barbuda,Gaston Browne,"monarch of Antigua and Barbuda
Governor-General of Antigua and Barbuda",Charles III of the United Kingdom
🇦🇷,Argentina,President of Argentina,Javier Milei,President of Argentina,Javier Milei
🇦🇲,Armenia,Prime Minister of Armenia,Nikol Pashinyan,President of Armenia,Vahagn Khachatryan
🇦🇼,Aruba,Prime Minister of Aruba,Evelyn Wever-Croes,,Willem-Alexander of the Netherlands
🇦🇺,Australia,Prime Minister of Australia,Anthony Albanese,monarch of Australia,Charles III of the United Kingdom
🇦🇿,Azerbaijan,Prime Minister of Azerbaijan,Ali Asadov,President of Azerbaijan,Ilham Aliyev
🇧🇭,Bahrain,Prime Minister of Bahrain,"Salman bin Hamad, Crown Prince of Bahrain",monarch of Bahrain,Hamad II of Bahrain
🇧🇩,Bangladesh,Prime Minister of Bangladesh,Muhammad Yunus,President of Bangladesh,Mohammad Shahabuddin
🇧🇧,Barbados,Prime Minister of Barbados,Mia Mottley,President of Barbados,Sandra Mason
🇧🇾,Belarus,Prime Minister of Belarus,Roman Golovchenko,President of Belarus,Alexander Lukashenko
🇧🇪,Belgium,Prime Minister of Belgium,Alexander De Croo,King of the Belgians,Philippe of Belgium
🇧🇿,Belize,Prime Minister of Belize,Johnny Briceño,monarch of Belize,Charles III of the United Kingdom
🇧🇯,Benin,President of the Republic of Benin,Patrice Talon,President of the Republic of Benin,Patrice Talon
🇧🇹,Bhutan,Prime Minister of Bhutan,Lotay Tshering,Druk Gyalpo,Jigme Khesar Namgyel Wangchuck
🇧🇴,Bolivia,president of Bolivia,Luis Arce,president of Bolivia,Luis Arce
🇧🇦,Bosnia and Herzegovina,Chairman of the Council of Ministers of Bosnia and Herzegovina,Borjana Krišto,Presidency of Bosnia and Herzegovina,"Željko Komšić
Denis Bećirović
Željka Cvijanović"
🇧🇼,Botswana,President of Botswana,Mokgweetsi Masisi,President of Botswana,Mokgweetsi Masisi
🇧🇷,Brazil,President of Brazil,Luiz Inácio Lula da Silva,President of Brazil,Luiz Inácio Lula da Silva
🇧🇳,Brunei,Sultan of Brunei Darussalam,Hassanal Bolkiah I of Brunei,Sultan of Brunei Darussalam,Hassanal Bolkiah I of Brunei
🇧🇬,Bulgaria,Prime Minister of Bulgaria,Nikolay Denkov,President of Bulgaria,Rumen Radev
🇧🇫,Burkina Faso,Prime Minister of Burkina Faso,Apollinaire Joachim Kyélem de Tambèla,"President of Burkina Faso
military leader",Ibrahim Traoré
🇧🇮,Burundi,Prime Minister of Burundi,Gervais Ndirakobuca,President of Burundi,Évariste Ndayishimiye
🇰🇭,Cambodia,Prime Minister of Cambodia,Hun Manet,King of Cambodia,Norodom Sihamoni
🇨🇲,Cameroon,Prime Minister of Cameroon,Joseph Ngute,President of Cameroon,Paul Biya
🇨🇦,Canada,Prime Minister of Canada,Justin Trudeau,monarch of Canada,Charles III of the United Kingdom
🇨🇻,Cape Verde,Prime Minister of Cabo Verde,Ulisses Correia e Silva,President of Cape Verde,José Maria Neves
🇨🇫,Central African Republic,Prime Minister of the Central African Republic,Félix Moloua,President of the Central African Republic,Faustin-Archange Touadéra
🇹🇩,Chad,President of Chad,Idriss Déby,President of Chad,Mahamat Déby Itno
🇨🇱,Chile,President of Chile,Gabriel Boric,President of Chile,Gabriel Boric
🇨🇴,Colombia,President of Colombia,Gustavo Petro,President of Colombia,Gustavo Petro
🇰🇲,Comoros,President of Comoros,Azali Assoumani,President of Comoros,Azali Assoumani
🇨🇰,Cook Islands,Prime Minister of the Cook Islands,Henry Puna,monarch of New Zealand,Charles III of the United Kingdom
🇨🇷,Costa Rica,President of Costa Rica,Rodrigo Chaves,President of Costa Rica,Rodrigo Chaves
🇭🇷,Croatia,Prime Minister of Croatia,Andrej Plenković,President of Croatia,Zoran Milanović
🇨🇺,Cuba,Prime Minister of Cuba,Manuel Marrero Cruz,President of Cuba,Miguel Díaz-Canel
🇨🇼,Curaçao,Prime Minister of Curaçao,"Ivar Asjes
Gilmar Pisas",King of the Netherlands,Willem-Alexander of the Netherlands
🇨🇾,Cyprus,President of Cyprus,Nicos Christodoulides,President of Cyprus,Nicos Christodoulides
🇨🇿,Czech Republic,Prime Minister of the Czech Republic,Petr Fiala,President of the Czech Republic,Petr Pavel
🇨🇩,Democratic Republic of the Congo,Prime Minister of the Democratic Republic of the Congo,Ilunga Ilunkamba Sylvestre,President of the Democratic Republic of the Congo,Félix Tshisekedi
🇩🇰,Denmark,Prime Minister of Denmark,Mette Frederiksen,monarch of Denmark,Frederik X of Denmark
🇩🇯,Djibouti,Prime Minister of Djibouti,Abdoulkader Kamil Mohamed,President of Djibouti,Ismail Omar Guelleh
🇩🇲,Dominica,Prime Minister of Dominica,Roosevelt Skerrit,president of Dominica,Charles Savarin
🇩🇴,Dominican Republic,President of the Dominican Republic,Luis Abinader,President of the Dominican Republic,Luis Abinader
🇹🇱,East Timor,Prime Minister of East Timor,Xanana Gusmão,President of East Timor,José Ramos-Horta
🇪🇨,Ecuador,President of Ecuador,Daniel Noboa,President of Ecuador,Daniel Noboa
🇪🇬,Egypt,Prime Minister of Egypt,Mostafa Madbouly,President of Egypt,Abdel Fattah el-Sisi
🇸🇻,El Salvador,President of El Salvador,Nayib Bukele,President of El Salvador,Nayib Bukele
🇬🇶,Equatorial Guinea,Prime Minister of Equatorial Guinea,Manuela Roka,President of Equatorial Guinea,Teodoro Obiang
🇪🇷,Eritrea,President of Eritrea,Isaías Fortis,President of Eritrea,Isaías Fortis
🇪🇪,Estonia,Prime Minister of Estonia,Kaja Kallas,President of Estonia,Alar Karis
🇪🇹,Ethiopia,Prime Minister of Ethiopia,Abiy Ahmed Ali,President of Ethiopia,Sahle-Work Zewde
🇫🇲,Federated States of Micronesia,President of the Federated States of Micronesia,Wesley Simina,President of the Federated States of Micronesia,Wesley Simina
🇫🇯,Fiji,Prime Minister of Fiji,Sitiveni Rabuka,President of Fiji,Wiliame Katonivere
🇫🇮,Finland,Prime Minister of Finland,Petteri Orpo,President of Finland,Alexander Stubb
🇫🇷,France,Prime Minister of France,Michel Barnier,President of the French Republic,Emmanuel Macron
🇬🇦,Gabon,Prime Minister of Gabon,Raymond Ndong Sima,President of Gabon,Ali Bongo Ondimba
🇬🇪,Georgia,Prime Minister of Georgia,Irakli Kobakhidze,President of Georgia,Salome Zourabichvili
🇩🇪,Germany,Federal Chancellor of Germany,Olaf Scholz,president of Germany,Frank-Walter Steinmeier
🇬🇭,Ghana,President of Ghana,Nana Akufo-Addo,President of Ghana,Nana Akufo-Addo
🇬🇷,Greece,Prime Minister of Greece,Kyriakos Mitsotakis,President of Greece,Katerina Sakellaropoulou
🇬🇩,Grenada,Prime Minister of Grenada,Keith Mitchell,monarch of Grenada,Charles III of the United Kingdom
🇬🇹,Guatemala,President of the Republic of Guatemala,Bernardo Arévalo de León,President of the Republic of Guatemala,Bernardo Arévalo de León
🇬🇳,Guinea,Prime Minister of Guinea,Bah Oury,President of Guinea,Mamady Doumbouya
🇬🇼,Guinea-Bissau,Prime Minister of Guinea-Bissau,Nuno Nabiam,President of Guinea-Bissau,Umaro Sissoco Embaló
🇬🇾,Guyana,Prime Minister of Guyana,Mark Phillips,President of Guyana,Irfaan Ali
🇭🇳,Honduras,President of Honduras,Xiomara Castro,President of Honduras,Xiomara Castro
🇭🇺,Hungary,Prime Minister of Hungary,Viktor Orbán,President of Hungary,Tamás Sulyok
🇮🇸,Iceland,Prime Minister of Iceland,Bjarni Benediktsson,President of Iceland,Halla Tómasdóttir
🇮🇳,India,Prime Minister of India,Narendra Modi,President of India,Droupadi Murmu
🇮🇩,Indonesia,President of Indonesia,Joko Widodo,President of Indonesia,Joko Widodo
🇮🇷,Iran,President of Iran,Masoud Pezeshkian,Supreme Leader of Iran,Ali Khamenei
🇮🇶,Iraq,Prime Minister of Iraq,Mohammed Shia' Al Sudani,President of Iraq,Abdul Latif Rashid
🇮🇪,Ireland,Taoiseach,Leo Varadkar,President of Ireland,Michael D. Higgins
🇮🇱,Israel,Prime Minister of Israel,Benjamin Netanyahu,President of Israel,Isaac Herzog
🇮🇹,Italy,Prime Minister of Italy,Giorgia Meloni,President of Italy,Sergio Mattarella
🇨🇮,Ivory Coast,Prime Minister of Ivory Coast,Robert Beugré Mambé,President of the Ivory Coast,Alassane Ouattara
🇯🇲,Jamaica,Prime Minister of Jamaica,Andrew Holness,"monarch of Jamaica
Governor-General of Jamaica",Charles III of the United Kingdom
🇯🇵,Japan,Prime Minister of Japan,Shigeru Ishiba,Emperor of Japan,Naruhito
🇯🇴,Jordan,Prime Minister of Jordan,Bisher Al-Khasawneh,King of Jordan,Abdullah II of Jordan
🇰🇿,Kazakhstan,Prime Minister of Kazakhstan,Älihan Smaiylov,President of Kazakhstan,Kassym-Jomart Tokayev
🇰🇪,Kenya,President of Kenya,William Ruto,President of Kenya,William Ruto
🇩🇰,Kingdom of Denmark,Prime Minister of Denmark,Mette Frederiksen,monarch of Denmark,Frederik X of Denmark
🇳🇱,Kingdom of the Netherlands,Prime Minister of the Netherlands,Mark Rutte,King of the Netherlands,Willem-Alexander of the Netherlands
🇽🇰,Kosovo,Prime Minister of Kosovo,Albin Kurti,President of Kosovo,Vjosa Osmani
🇰🇼,Kuwait,Prime Minister of Kuwait,Sabah Al-Khalid Al-Sabah,emir of Kuwait,Mishal Al-Ahmad Al-Jaber Al-Sabah
🇰🇬,Kyrgyzstan,Prime Minister of Kyrgyzstan,Akylbek Japarov,President of Kyrgyzstan,Sadyr Zhaparov
🇱🇦,Laos,Prime Minister of Laos,Phankham Viphavan,President of Laos,Thongloun Sisoulith
🇱🇻,Latvia,Prime Minister of Latvia,Evika Siliņa,President of Latvia,Edgars Rinkēvičs
🇱🇧,Lebanon,Prime Minister of Lebanon,Najib Mikati,President of Lebanon,No/unknown value
🇱🇸,Lesotho,Prime Minister of Lesotho,Sam Matekane,King of Lesotho,Letsie III of Lesotho
🇱🇷,Liberia,President of Liberia,George Weah,President of Liberia,George Weah
🇱🇾,Libya,Prime Minister of Libya,Abdulhamid Dbeibeh,Chairman of the Presidential Council,Mohamed al-Menfi
🇱🇮,Liechtenstein,Prime Minister of Liechtenstein,Daniel Risch,Prince of Lichtenstein,"Hans-Adam II, Prince of Liechtenstein"
🇱🇹,Lithuania,Prime Minister of Lithuania,Ingrida Šimonytė,President of the Republic of Lithuania,Gitanas Nausėda
🇱🇺,Luxembourg,Prime Minister of Luxembourg,Xavier Bettel,Monarch of Luxembourg,"Henri, Grand Duke of Luxembourg"
