#,Flag,Country,office held by head of government,head of government,office held by head of state,head of state,Link
1,🇦🇫,Afghanistan,Prime Minister of Afghanistan,Mohammad Hasan Akhund,Amir al-Mu'minin,Hibatullah Akhundzada,
2,🇦🇱,Albania,Prime Minister of Albania,Edi Rama,President of Albania,Bajram Begaj,
3,🇩🇿,Algeria,Prime Minister of Algeria,Nadir Larbaoui,President of Algeria,Abdelmadjid Tebboune,
4,🇦🇩,Andorra,Prime Minister of Andorra,Xavier Espot Zamora,"French co-prince of Andorra
Episcopal Co-Prince","Joan Enric Vives Sicília
Emmanuel Macron",
5,🇦🇴,Angola,President of Angola,João Lourenço,President of Angola,João Lourenço,
6,🇦🇬,Antigua and Barbuda,Prime Minister of Antigua and Barbuda,Gaston Browne,"monarch of Antigua and Barbuda
Governor-General of Antigua and Barbuda",Charles III of the United Kingdom,
7,🇦🇷,Argentina,President of Argentina,Javier Milei,President of Argentina,Javier Milei,
8,🇦🇲,Armenia,Prime Minister of Armenia,Nikol Pashinyan,President of Armenia,Vahagn Khachatryan,
9,🇦🇼,Aruba,Prime Minister of Aruba,Evelyn Wever-Croes,,Willem-Alexander of the Netherlands,
10,🇦🇺,Australia,Prime Minister of Australia,Anthony Albanese,monarch of Australia,Charles III of the United Kingdom,
11,🇦🇿,Azerbaijan,Prime Minister of Azerbaijan,Ali Asadov,President of Azerbaijan,Ilham Aliyev,
12,🇧🇭,Bahrain,Prime Minister of Bahrain,"Salman bin Hamad, Crown Prince of Bahrain",monarch of Bahrain,Hamad II of Bahrain,
13,🇧🇩,Bangladesh,Prime Minister of Bangladesh,Muhammad Yunus,President of Bangladesh,Mohammad Shahabuddin,
14,🇧🇧,Barbados,Prime Minister of Barbados,Mia Mottley,President of Barbados,Sandra Mason,
15,🇧🇾,Belarus,Prime Minister of Belarus,Roman Golovchenko,President of Belarus,Alexander Lukashenko,
16,🇧🇪,Belgium,Prime Minister of Belgium,Alexander De Croo,King of the Belgians,Philippe of Belgium,
17,🇧🇿,Belize,Prime Minister of Belize,Johnny Briceño,monarch of Belize,Charles III of the United Kingdom,
18,🇧🇯,Benin,President of the Republic of Benin,Patrice Talon,President of the Republic of Benin,Patrice Talon,
19,🇧🇹,Bhutan,Prime Minister of Bhutan,Lotay Tshering,Druk Gyalpo,Jigme Khesar Namgyel Wangchuck,
20,🇧🇴,Bolivia,president of Bolivia,Luis Arce,president of Bolivia,Luis Arce,
21,🇧🇦,Bosnia and Herzegovina,Chairman of the Council of Ministers of Bosnia and Herzegovina,Borjana Krišto,Presidency of Bosnia and Herzegovina,"Željko Komšić
Denis Bećirović
Željka Cvijanović",
22,🇧🇼,Botswana,President of Botswana,Mokgweetsi Masisi,President of Botswana,Mokgweetsi Masisi,
23,🇧🇷,Brazil,President of Brazil,Luiz Inácio Lula da Silva,President of Brazil,Luiz Inácio Lula da Silva,
24,🇧🇳,Brunei,Sultan of Brunei Darussalam,Hassanal Bolkiah I of Brunei,Sultan of Brunei Darussalam,Hassanal Bolkiah I of Brunei,
25,🇧🇬,Bulgaria,Prime Minister of Bulgaria,Nikolay Denkov,President of Bulgaria,Rumen Radev,
26,🇧🇫,Burkina Faso,Prime Minister of Burkina Faso,Apollinaire Joachim Kyélem de Tambèla,"President of Burkina Faso
military leader",Ibrahim Traoré,
27,🇧🇮,Burundi,Prime Minister of Burundi,Gervais Ndirakobuca,President of Burundi,Évariste Ndayishimiye,
28,🇰🇭,Cambodia,Prime Minister of Cambodia,Hun Manet,King of Cambodia,Norodom Sihamoni,
29,🇨🇲,Cameroon,Prime Minister of Cameroon,Joseph Ngute,President of Cameroon,Paul Biya,
30,🇨🇦,Canada,Prime Minister of Canada,Justin Trudeau,monarch of Canada,Charles III of the United Kingdom,
31,🇨🇻,Cape Verde,Prime Minister of Cabo Verde,Ulisses Correia e Silva,President of Cape Verde,José Maria Neves,
32,🇨🇫,Central African Republic,Prime Minister of the Central African Republic,Félix Moloua,President of the Central African Republic,Faustin-Archange Touadéra,
33,🇹🇩,Chad,President of Chad,Idriss Déby,President of Chad,Mahamat Déby Itno,
34,🇨🇱,Chile,President of Chile,Gabriel Boric,President of Chile,Gabriel Boric,
35,🇨🇴,Colombia,President of Colombia,Gustavo Petro,President of Colombia,Gustavo Petro,
36,🇰🇲,Comoros,President of Comoros,Azali Assoumani,President of Comoros,Azali Assoumani,
37,🇨🇰,Cook Islands,Prime Minister of the Cook Islands,Henry Puna,monarch of New Zealand,Charles III of the United Kingdom,
38,🇨🇷,Costa Rica,President of Costa Rica,Rodrigo Chaves,President of Costa Rica,Rodrigo Chaves,
39,🇭🇷,Croatia,Prime Minister of Croatia,Andrej Plenković,President of Croatia,Zoran Milanović,
40,🇨🇺,Cuba,Prime Minister of Cuba,Manuel Marrero Cruz,President of Cuba,Miguel Díaz-Canel,
41,🇨🇼,Curaçao,Prime Minister of Curaçao,"Ivar Asjes
Gilmar Pisas",King of the Netherlands,Willem-Alexander of the Netherlands,
42,🇨🇾,Cyprus,President of Cyprus,Nicos Christodoulides,President of Cyprus,Nicos Christodoulides,
43,🇨🇿,Czech Republic,Prime Minister of the Czech Republic,Petr Fiala,President of the Czech Republic,Petr Pavel,
44,🇨🇩,Democratic Republic of the Congo,Prime Minister of the Democratic Republic of the Congo,Ilunga Ilunkamba Sylvestre,President of the Democratic Republic of the Congo,Félix Tshisekedi,
45,🇩🇰,Denmark,Prime Minister of Denmark,Mette Frederiksen,monarch of Denmark,Frederik X of Denmark,
46,🇩🇯,Djibouti,Prime Minister of Djibouti,Abdoulkader Kamil Mohamed,President of Djibouti,Ismail Omar Guelleh,
47,🇩🇲,Dominica,Prime Minister of Dominica,Roosevelt Skerrit,president of Dominica,Charles Savarin,
48,🇩🇴,Dominican Republic,President of the Dominican Republic,Luis Abinader,President of the Dominican Republic,Luis Abinader,
49,🇹🇱,East Timor,Prime Minister of East Timor,Xanana Gusmão,President of East Timor,José Ramos-Horta,
50,🇪🇨,Ecuador,President of Ecuador,Daniel Noboa,President of Ecuador,Daniel Noboa,
51,🇪🇬,Egypt,Prime Minister of Egypt,Mostafa Madbouly,President of Egypt,Abdel Fattah el-Sisi,
52,🇸🇻,El Salvador,President of El Salvador,Nayib Bukele,President of El Salvador,Nayib Bukele,
53,🇬🇶,Equatorial Guinea,Prime Minister of Equatorial Guinea,Manuela Roka,President of Equatorial Guinea,Teodoro Obiang,
54,🇪🇷,Eritrea,President of Eritrea,Isaías Fortis,President of Eritrea,Isaías Fortis,
55,🇪🇪,Estonia,Prime Minister of Estonia,Kaja Kallas,President of Estonia,Alar Karis,
56,🇪🇹,Ethiopia,Prime Minister of Ethiopia,Abiy Ahmed Ali,President of Ethiopia,Sahle-Work Zewde,
57,🇫🇲,Federated States of Micronesia,President of the Federated States of Micronesia,Wesley Simina,President of the Federated States of Micronesia,Wesley Simina,
58,🇫🇯,Fiji,Prime Minister of Fiji,Sitiveni Rabuka,President of Fiji,Wiliame Katonivere,
59,🇫🇮,Finland,Prime Minister of Finland,Petteri Orpo,President of Finland,Alexander Stubb,
60,🇫🇷,France,Prime Minister of France,Michel Barnier,President of the French Republic,Emmanuel Macron,
61,🇬🇦,Gabon,Prime Minister of Gabon,Raymond Ndong Sima,President of Gabon,Ali Bongo Ondimba,
62,🇬🇪,Georgia,Prime Minister of Georgia,Irakli Kobakhidze,President of Georgia,Salome Zourabichvili,
63,🇩🇪,Germany,Federal Chancellor of Germany,Olaf Scholz,president of Germany,Frank-Walter Steinmeier,
64,🇬🇭,Ghana,President of Ghana,Nana Akufo-Addo,President of Ghana,Nana Akufo-Addo,
65,🇬🇷,Greece,Prime Minister of Greece,Kyriakos Mitsotakis,President of Greece,Katerina Sakellaropoulou,
66,🇬🇩,Grenada,Prime Minister of Grenada,Keith Mitchell,monarch of Grenada,Charles III of the United Kingdom,
67,🇬🇹,Guatemala,President of the Republic of Guatemala,Bernardo Arévalo de León,President of the Republic of Guatemala,Bernardo Arévalo de León,
68,🇬🇳,Guinea,Prime Minister of Guinea,Bah Oury,President of Guinea,Mamady Doumbouya,
69,🇬🇼,Guinea-Bissau,Prime Minister of Guinea-Bissau,Nuno Nabiam,President of Guinea-Bissau,Umaro Sissoco Embaló,
