product_id,actual_price,rating,category_Car&Motorbike,category_Computers&Accessories,category_Electronics,category_Health&PersonalCare,category_Home&Kitchen,category_HomeImprovement,category_MusicalInstruments,category_OfficeProducts,category_Toys&Games,Cluster
B07JW9H4J1,1099.0,4.2,False,True,False,False,False,False,False,False,False,1
B098NS6PVG,349.0,4.0,False,True,False,False,False,False,False,False,False,1
B096MSW6CT,1899.0,3.9,False,True,False,False,False,False,False,False,False,1
B08HDJ86NZ,699.0,4.2,False,True,False,False,False,False,False,False,False,1
B08CF3B7N1,399.0,4.2,False,True,False,False,False,False,False,False,False,1
B08Y1TFSP6,1000.0,3.9,False,True,False,False,False,False,False,False,False,1
B08WRWPM22,499.0,4.1,False,True,False,False,False,False,False,False,False,1
B08DDRGWTJ,299.0,4.3,False,True,False,False,False,False,False,False,False,1
B008IFXQFU,999.0,4.2,False,True,False,False,False,False,False,False,False,1
B082LZGK39,299.0,4.0,False,True,False,False,False,False,False,False,False,1
B08CF3D7QR,339.0,4.3,False,True,False,False,False,False,False,False,False,1
B0789LZTCJ,799.0,4.2,False,True,False,False,False,False,False,False,False,1
B07KSMBL2H,700.0,4.4,False,False,True,False,False,False,False,False,False,0
B085DTN6R2,899.0,4.2,False,True,False,False,False,False,False,False,False,1
B09KLVMZ3B,399.0,4.1,False,True,False,False,False,False,False,False,False,1
B083342NKJ,399.0,4.4,False,True,False,False,False,False,False,False,False,1
B0B6F7LX4C,24999.0,4.2,False,False,True,False,False,False,False,False,False,5
B082LSVT4B,399.0,4.0,False,True,False,False,False,False,False,False,False,1
B08WRBG3XW,499.0,4.1,False,True,False,False,False,False,False,False,False,1
B08DPLCM6T,21990.0,4.3,False,False,True,False,False,False,False,False,False,0
B09C6HXFC1,1799.0,4.5,False,True,False,False,False,False,False,False,False,1
B085194JFL,499.0,3.7,False,False,True,False,False,False,False,False,False,0
B09F6S8BT6,22900.0,4.3,False,False,True,False,False,False,False,False,False,0
B09NHVCHS9,199.0,4.0,False,True,False,False,False,False,False,False,False,1
B0B1YVCJ2Y,19990.0,4.3,False,False,True,False,False,False,False,False,False,0
B01M4GGIVU,699.0,4.2,False,False,True,False,False,False,False,False,False,0
B08B42LWKN,19999.0,4.2,False,False,True,False,False,False,False,False,False,0
B094JNXNPV,399.0,4.0,False,True,False,False,False,False,False,False,False,1
B09W5XR9RT,1999.0,4.4,False,True,False,False,False,False,False,False,False,1
B077Z65HSD,999.0,4.3,False,True,False,False,False,False,False,False,False,1
B00NH11PEY,750.0,4.5,False,True,False,False,False,False,False,False,False,1
B09CMM3VGK,499.0,4.0,False,True,False,False,False,False,False,False,False,1
B08QSC1XY8,1099.0,4.3,False,True,False,False,False,False,False,False,False,1
B008FWZGSG,599.0,4.3,False,True,False,False,False,False,False,False,False,1
B0B4HJNPV4,999.0,3.9,False,True,False,False,False,False,False,False,False,1
B08Y1SJVV5,666.66,3.9,False,True,False,False,False,False,False,False,False,1
B07XLCFSSN,1900.0,4.4,False,True,False,False,False,False,False,False,False,1
B09RZS1NQT,999.0,4.0,False,True,False,False,False,False,False,False,False,1
B0B3MMYHYW,45999.0,4.2,False,False,True,False,False,False,False,False,False,5
B09C6HWG18,1999.0,4.2,False,True,False,False,False,False,False,False,False,1
B00NH11KIK,695.0,4.5,False,True,False,False,False,False,False,False,False,1
B09JPC82QC,34999.0,4.3,False,False,True,False,False,False,False,False,False,5
B07JW1Y6XV,1099.0,4.2,False,True,False,False,False,False,False,False,False,1
B07KRCW6LZ,1599.0,4.3,False,True,False,False,False,False,False,False,False,1
B09NJN8L25,199.0,4.0,False,True,False,False,False,False,False,False,False,1
B07XJYYH7L,999.0,3.3,False,True,False,False,False,False,False,False,False,1
B002PD61Y4,1208.0,4.1,False,True,False,False,False,False,False,False,False,1
B014I8SSD0,475.0,4.4,False,False,True,False,False,False,False,False,False,0
B09L8DSSFH,999.0,3.6,False,False,True,False,False,False,False,False,False,0
B07232M876,395.0,4.2,False,True,False,False,False,False,False,False,False,1
B07P681N66,2199.0,4.4,False,True,False,False,False,False,False,False,False,1
B0711PVX6Z,500.0,4.2,False,True,False,False,False,False,False,False,False,1
B082T6V3DT,2100.0,4.3,False,True,False,False,False,False,False,False,False,1
B07MKFNHKG,12999.0,4.2,False,False,True,False,False,False,False,False,False,0
B0BFWGBX61,349.0,4.1,False,True,False,False,False,False,False,False,False,1
B01N90RZ4M,499.0,3.7,False,False,True,False,False,False,False,False,False,0
B0088TKTY2,1399.0,4.2,False,True,False,False,False,False,False,False,False,1
B09Q5SWVBJ,21999.0,4.2,False,False,True,False,False,False,False,False,False,0
B0B4DT8MKT,1499.0,4.2,False,True,False,False,False,False,False,False,False,1
B08CDKQ8T6,349.0,4.3,False,True,False,False,False,False,False,False,False,1
B07B275VN9,799.0,3.7,False,False,True,False,False,False,False,False,False,0
B0B15CPR37,47900.0,4.3,False,False,True,False,False,False,False,False,False,5
B0994GFWBH,999.0,4.0,False,True,False,False,False,False,False,False,False,1
B01GGKZ0V6,845.0,4.2,False,True,False,False,False,False,False,False,False,1
B09F9YQQ7B,24999.0,4.2,False,False,True,False,False,False,False,False,False,5
B014I8SX4Y,1400.0,4.4,False,False,True,False,False,False,False,False,False,0
B09Q8HMKZX,699.0,4.1,False,True,False,False,False,False,False,False,False,1
B0B9XN9S3W,14990.0,4.3,False,False,True,False,False,False,False,False,False,0
B07966M8XH,2999.0,4.2,False,False,True,False,False,False,False,False,False,0
B01GGKYKQM,700.0,4.3,False,True,False,False,False,False,False,False,False,1
B0B86CDHL1,899.0,4.5,False,True,False,False,False,False,False,False,False,1
B0B5ZF3NRK,599.0,4.1,False,True,False,False,False,False,False,False,False,1
B09RFC46VP,42999.0,4.2,False,False,True,False,False,False,False,False,False,5
B08R69VDHT,499.0,4.0,False,True,False,False,False,False,False,False,False,1
B09RWZRCP1,999.0,4.1,False,True,False,False,False,False,False,False,False,1
B09CMP1SC8,499.0,4.1,False,True,False,False,False,False,False,False,False,1
B09YLXYP7Y,399.0,4.0,False,True,False,False,False,False,False,False,False,1
B09ZPM4C2C,30990.0,4.1,False,False,True,False,False,False,False,False,False,5
B0B2DJDCPX,499.0,3.9,False,True,False,False,False,False,False,False,False,1
B0BCZCQTJX,3999.0,4.0,False,False,True,False,False,False,False,False,False,0
B07LGT55SJ,1099.0,4.2,False,True,False,False,False,False,False,False,False,1
B09NKZXMWJ,249.0,4.0,False,True,False,False,False,False,False,False,False,1
B08QX1CC14,19125.0,3.4,False,False,True,False,False,False,False,False,False,0
B0974H97TJ,799.0,4.4,False,True,False,False,False,False,False,False,False,1
B07GVGTSLN,1299.0,4.2,False,True,False,False,False,False,False,False,False,1
B09VCHLSJF,39999.0,4.2,False,False,True,False,False,False,False,False,False,5
B0B1YZX72F,40990.0,4.3,False,False,True,False,False,False,False,False,False,5
B092BJMT8Q,52900.0,4.3,False,False,True,False,False,False,False,False,False,5
B0BMXMLSMM,999.0,4.5,False,True,False,False,False,False,False,False,False,1
B07JH1C41D,1999.0,4.2,False,True,False,False,False,False,False,False,False,1
B0141EZMAI,800.0,3.6,False,True,False,False,False,False,False,False,False,1
B09Q5P2MT3,31999.0,4.2,False,False,True,False,False,False,False,False,False,5
B08HDH26JX,699.0,4.2,False,True,False,False,False,False,False,False,False,1
B09VT6JKRP,999.0,4.1,False,True,False,False,False,False,False,False,False,1
B09T3KB6JZ,40990.0,4.2,False,False,True,False,False,False,False,False,False,5
B093QCY6YJ,349.0,3.7,False,True,False,False,False,False,False,False,False,1
B093ZNQZ2Y,799.0,3.8,False,False,True,False,False,False,False,False,False,0
B08LKS3LSP,999.0,3.7,False,True,False,False,False,False,False,False,False,1
B00V4BGDKU,1899.0,4.5,False,True,False,False,False,False,False,False,False,1
B08CHKQ8D4,1499.0,4.1,False,True,False,False,False,False,False,False,False,1
B09BW334ML,1499.0,4.3,False,False,True,False,False,False,False,False,False,0
B082T6GVLJ,1809.0,4.3,False,True,False,False,False,False,False,False,False,1
B07DL1KC3H,899.0,4.0,False,False,True,False,False,False,False,False,False,0
B0B6F98KJJ,29999.0,4.2,False,False,True,False,False,False,False,False,False,5
B07JNVF678,999.0,4.2,False,True,False,False,False,False,False,False,False,1
B09QGZFBPM,999.0,4.3,False,True,False,False,False,False,False,False,False,1
B07JGDB5M1,1299.0,4.2,False,True,False,False,False,False,False,False,False,1
B0981XSZJ7,999.0,4.3,False,True,False,False,False,False,False,False,False,1
B0B9XLX8VR,65000.0,4.3,False,False,True,False,False,False,False,False,False,5
B08Y5KXR6Z,800.0,3.9,False,True,False,False,False,False,False,False,False,1
B09F6VHQXB,20000.0,4.1,False,False,True,False,False,False,False,False,False,0
B0974G5Q2Y,999.0,4.3,False,True,False,False,False,False,False,False,False,1
B09YL9SN9B,23990.0,4.3,False,False,True,False,False,False,False,False,False,5
B09RX1FK54,999.0,4.1,False,True,False,False,False,False,False,False,False,1
B09TT6BFDX,1999.0,4.5,False,False,True,False,False,False,False,False,False,0
B09KH58JZR,399.0,4.1,False,True,False,False,False,False,False,False,False,1
B09DDCQFMT,1999.0,3.6,False,False,True,False,False,False,False,False,False,0
B08RP2L2NL,999.0,3.5,False,True,False,False,False,False,False,False,False,1
B0B4G2MWSB,999.0,4.0,False,True,False,False,False,False,False,False,False,1
B0B21C4BMX,899.0,3.8,False,True,False,False,False,False,False,False,False,1
B084MZXJNK,1999.0,4.4,False,True,False,False,False,False,False,False,False,1
B0BHZCNC4P,3999.0,3.7,False,False,True,False,False,False,False,False,False,0
B0B16KD737,15999.0,4.3,False,False,True,False,False,False,False,False,False,0
B099K9ZX65,44990.0,4.1,False,False,True,False,False,False,False,False,False,5
B08Y55LPBF,44999.0,4.2,False,False,True,False,False,False,False,False,False,5
B015OW3M1W,1700.0,4.1,False,False,True,False,False,False,False,False,False,0
B01D5H8ZI8,595.0,4.3,False,False,True,False,False,False,False,False,False,0
B09X1M3DHX,27990.0,4.2,False,False,True,False,False,False,False,False,False,5
B09MM6P76N,599.0,4.2,False,False,True,False,False,False,False,False,False,0
B01D5H8LDM,1200.0,4.4,False,False,True,False,False,False,False,False,False,0
B0B1YY6JJL,34990.0,4.3,False,False,True,False,False,False,False,False,False,5
B09QGZM8QB,999.0,4.3,False,True,False,False,False,False,False,False,False,1
B08L4SBJRY,1299.0,4.0,False,False,True,False,False,False,False,False,False,0
B09X79PP8F,299.0,3.9,False,True,False,False,False,False,False,False,False,1
B082T6GVG9,1500.0,4.2,False,True,False,False,False,False,False,False,False,1
B0B3XY5YT4,49990.0,4.3,False,False,True,False,False,False,False,False,False,5
B0B4HKH19N,931.0,3.9,False,True,False,False,False,False,False,False,False,1
B08TGG316Z,2399.0,4.6,False,False,True,False,False,False,False,False,False,0
B071VMP1Z4,399.0,3.9,False,False,True,False,False,False,False,False,False,0
B071SDRGWL,699.0,4.3,False,True,False,False,False,False,False,False,False,1
B08PSQRW2T,1099.0,4.1,False,True,False,False,False,False,False,False,False,1
B0859M539M,2999.0,4.4,False,True,False,False,False,False,False,False,False,1
B08RX8G496,1099.0,3.2,False,False,True,False,False,False,False,False,False,0
B002SZEOLG,1339.0,4.2,False,True,False,False,False,False,False,False,False,1
B08CS3BT4L,12999.0,4.2,False,False,True,False,False,False,False,False,False,0
B00RFWNJMC,499.0,3.7,False,False,True,False,False,False,False,False,False,0
B082T6GXS5,2100.0,4.5,False,True,False,False,False,False,False,False,False,1
B09CMQRQM6,899.0,4.2,False,True,False,False,False,False,False,False,False,1
B005LJQMCK,599.0,4.2,False,False,True,False,False,False,False,False,False,0
B09C6H53KH,699.0,4.2,False,True,False,False,False,False,False,False,False,1
B0BB3CBFBM,65000.0,4.1,False,False,True,False,False,False,False,False,False,5
B08QSDKFGQ,1099.0,4.3,False,True,False,False,False,False,False,False,False,1
B08PV1X771,20900.0,4.3,False,False,True,False,False,False,False,False,False,0
B07YTNKVJQ,1299.0,4.3,False,True,False,False,False,False,False,False,False,1
B0117H7GZ6,399.0,3.4,False,True,False,False,False,False,False,False,False,1
B09XJ1LM7R,799.0,4.3,False,False,True,False,False,False,False,False,False,0
B084N133Y7,1999.0,4.4,False,True,False,False,False,False,False,False,False,1
B088Z1YWBC,15990.0,3.9,False,False,True,False,False,False,False,False,False,0
B07VSG5SXZ,1499.0,4.1,False,False,True,False,False,False,False,False,False,0
B08RWCZ6SY,899.0,3.9,False,False,True,False,False,False,False,False,False,0
