County,Census Tract Number,Life Expectancy
"Allegany County, MD",1.0,80.5
"Allegany County, MD",2.0,77.7
"Allegany County, MD",3.0,74.8
"Allegany County, MD",4.0,72.4
"Allegany County, MD",5.0,68.2
"Allegany County, MD",6.0,72.1
"Allegany County, MD",7.0,72.1
"Allegany County, MD",8.0,71.7
"Allegany County, MD",10.0,72.5
"Allegany County, MD",11.0,76.4
"Allegany County, MD",12.0,76.9
"Allegany County, MD",13.0,80.6
"Allegany County, MD",14.01,79.5
"Allegany County, MD",14.02,75.7
"Allegany County, MD",15.02,86.2
"Allegany County, MD",15.03,78.0
"Allegany County, MD",16.0,77.2
"Allegany County, MD",17.0,76.6
"Allegany County, MD",18.0,77.9
"Allegany County, MD",19.0,76.1
"Allegany County, MD",20.0,78.7
"Allegany County, MD",21.0,77.2
"Allegany County, MD",22.0,76.4
"Anne Arundel County, MD",7011.01,78.9
"Anne Arundel County, MD",7011.02,77.8
"Anne Arundel County, MD",7012.0,80.3
"Anne Arundel County, MD",7013.0,79.3
"Anne Arundel County, MD",7014.0,84.0
"Anne Arundel County, MD",7021.0,80.3
"Anne Arundel County, MD",7022.04,82.5
"Anne Arundel County, MD",7022.05,81.8
"Anne Arundel County, MD",7022.06,77.7
"Anne Arundel County, MD",7022.08,80.3
"Anne Arundel County, MD",7022.09,79.3
"Anne Arundel County, MD",7023.0,80.3
"Anne Arundel County, MD",7024.02,81.0
"Anne Arundel County, MD",7025.0,78.7
"Anne Arundel County, MD",7026.01,80.0
"Anne Arundel County, MD",7026.02,83.4
"Anne Arundel County, MD",7027.01,81.7
"Anne Arundel County, MD",7027.02,82.7
"Anne Arundel County, MD",7061.01,82.3
"Anne Arundel County, MD",7063.01,79.2
"Anne Arundel County, MD",7063.02,83.8
"Anne Arundel County, MD",7064.01,79.1
"Anne Arundel County, MD",7064.02,79.0
"Anne Arundel County, MD",7065.0,79.0
"Anne Arundel County, MD",7066.0,78.7
"Anne Arundel County, MD",7070.01,78.4
"Anne Arundel County, MD",7070.02,78.7
"Anne Arundel County, MD",7080.01,78.7
"Anne Arundel County, MD",7080.04,75.7
"Anne Arundel County, MD",7301.0,78.2
"Anne Arundel County, MD",7302.03,77.4
"Anne Arundel County, MD",7302.04,75.8
"Anne Arundel County, MD",7303.0,76.6
"Anne Arundel County, MD",7304.01,75.7
"Anne Arundel County, MD",7304.02,74.3
"Anne Arundel County, MD",7305.02,76.2
"Anne Arundel County, MD",7305.04,79.0
"Anne Arundel County, MD",7305.05,77.7
"Anne Arundel County, MD",7305.06,77.9
"Anne Arundel County, MD",7306.01,80.9
"Anne Arundel County, MD",7306.03,79.5
"Anne Arundel County, MD",7306.04,80.3
"Anne Arundel County, MD",7307.0,80.5
"Anne Arundel County, MD",7308.0,85.9
"Anne Arundel County, MD",7309.01,79.8
"Anne Arundel County, MD",7309.02,81.7
"Anne Arundel County, MD",7310.02,84.8
"Anne Arundel County, MD",7310.03,80.2
"Anne Arundel County, MD",7310.04,80.9
"Anne Arundel County, MD",7311.02,80.5
"Anne Arundel County, MD",7311.03,83.1
"Anne Arundel County, MD",7311.04,80.4
"Anne Arundel County, MD",7311.05,80.8
"Anne Arundel County, MD",7312.01,79.9
"Anne Arundel County, MD",7312.02,77.9
"Anne Arundel County, MD",7312.03,81.0
"Anne Arundel County, MD",7312.04,76.8
"Anne Arundel County, MD",7313.03,78.6
"Anne Arundel County, MD",7313.06,78.2
"Anne Arundel County, MD",7313.07,79.2
"Anne Arundel County, MD",7313.08,78.1
"Anne Arundel County, MD",7313.09,76.9
"Anne Arundel County, MD",7313.1,76.2
"Anne Arundel County, MD",7313.11,78.8
"Anne Arundel County, MD",7401.02,78.5
"Anne Arundel County, MD",7401.03,81.9
"Anne Arundel County, MD",7401.05,78.9
"Anne Arundel County, MD",7402.01,80.0
"Anne Arundel County, MD",7402.03,81.7
"Anne Arundel County, MD",7403.03,79.1
"Anne Arundel County, MD",7403.04,78.2
"Anne Arundel County, MD",7403.05,80.5
"Anne Arundel County, MD",7405.0,79.3
"Anne Arundel County, MD",7407.01,79.4
"Anne Arundel County, MD",7407.02,84.9
"Anne Arundel County, MD",7408.0,78.4
"Anne Arundel County, MD",7409.0,78.6
"Anne Arundel County, MD",7410.0,78.6
"Anne Arundel County, MD",7501.01,71.2
"Anne Arundel County, MD",7501.02,70.9
"Anne Arundel County, MD",7502.01,72.7
"Anne Arundel County, MD",7502.02,73.2
"Anne Arundel County, MD",7502.03,71.6
"Anne Arundel County, MD",7503.0,77.6
"Anne Arundel County, MD",7504.0,77.7
"Anne Arundel County, MD",7508.01,75.0
"Anne Arundel County, MD",7508.03,76.9
"Anne Arundel County, MD",7508.04,76.2
"Anne Arundel County, MD",7509.0,72.1
"Anne Arundel County, MD",7510.0,73.2
"Anne Arundel County, MD",7511.02,75.6
"Anne Arundel County, MD",7511.03,76.7
"Anne Arundel County, MD",7512.0,79.3
"Anne Arundel County, MD",7514.0,79.3
"Anne Arundel County, MD",7515.0,76.2
"Anne Arundel County, MD",7516.0,83.0
"Anne Arundel County, MD",7517.0,81.3
"Baltimore County, MD",4001.0,78.4
"Baltimore County, MD",4002.0,76.0
"Baltimore County, MD",4004.0,78.7
"Baltimore County, MD",4005.0,80.1
"Baltimore County, MD",4006.0,78.9
"Baltimore County, MD",4007.01,76.7
"Baltimore County, MD",4007.02,76.6
"Baltimore County, MD",4008.0,75.7
"Baltimore County, MD",4009.0,77.5
"Baltimore County, MD",4010.0,76.6
"Baltimore County, MD",4011.01,74.5
"Baltimore County, MD",4012.0,74.5
"Baltimore County, MD",4013.01,78.4
"Baltimore County, MD",4013.02,80.8
"Baltimore County, MD",4014.0,79.0
"Baltimore County, MD",4015.03,81.9
"Baltimore County, MD",4015.04,79.9
"Baltimore County, MD",4015.05,78.1
"Baltimore County, MD",4015.06,78.8
"Baltimore County, MD",4015.07,74.6
"Baltimore County, MD",4022.01,76.9
"Baltimore County, MD",4022.02,78.2
"Baltimore County, MD",4023.02,79.3
"Baltimore County, MD",4023.03,78.2
"Baltimore County, MD",4023.04,78.8
"Baltimore County, MD",4023.05,80.1
"Baltimore County, MD",4023.06,78.8
"Baltimore County, MD",4023.07,79.2
"Baltimore County, MD",4024.03,75.7
